Estacao,Data,Precipitacao,Humidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Vento,Periodo
83936,01/12/2019,0,56,9.14977213,5,28.8,18.2,112,23.89,25.0,26.11,27.22,27.78,27.78,1.866667,Spring
83936,02/12/2019,0,57.75,10.19291479,3,24.8,14.4,212,17.78,18.89,21.11,22.22,22.78,22.78,1.8,Spring
83936,03/12/2019,0,46.75,12.52882324,2.33333,29.4,13,312,18.89,22.22,22.78,25.0,26.11,27.78,2.633333,Spring
83936,04/12/2019,0,60,10.83739719,4.66667,32.4,15.2,412,21.11,23.89,27.22,28.89,31.11,32.22,2.166667,Spring
83936,05/12/2019,0,63,7.85185932,6.66667,27.6,17.4,512,20.0,20.0,22.22,22.78,26.11,26.11,2.166667,Spring
83936,06/12/2019,0,53.25,14.59242054,0,30.2,12,612,12.22,16.11,20.0,22.22,23.89,25.0,0.766667,Spring
83936,07/12/2019,0,54.5,13.02177687,0.666667,30.6,15,712,20.0,22.78,26.11,27.22,27.78,27.78,1.8,Spring
83936,08/12/2019,0,56.75,12.69006453,1.33333,32.6,16.2,812,21.11,22.78,25.0,27.22,28.89,30.0,1.7,Spring
83936,09/12/2019,0,54.5,10.59396805,5,33,18,912,23.89,27.22,27.78,30.0,31.11,32.22,1.866667,Spring
83936,10/12/2019,0,52,14.31145543,0,34.8,18.8,1012,26.11,27.78,30.0,32.22,32.78,35.0,1.366667,Spring
83936,11/12/2019,0,66,12.82821461,0.666667,35.8,17.4,1112,23.89,27.22,30.0,32.22,33.89,35.0,1.733333,Spring
83936,12/12/2019,0,67.25,6.37826639,6.33333,31.4,19.2,1212,26.11,31.11,31.11,27.78,27.78,27.22,2.433333,Spring
83936,13/12/2019,0,57.25,10.69605319,2.66667,28,16.8,1312,20.0,22.22,22.78,23.89,25.0,26.11,2.533333,Spring
83936,14/12/2019,0,69.25,8.73713737,5,31.2,15.6,1412,17.22,17.78,20.0,21.11,22.78,25.0,2.633333,Spring
83936,15/12/2019,7.5,78.5,4.60281666,9,32.6,22.2,1512,27.22,28.89,30.0,31.11,32.22,32.78,4.766667,Spring
83936,16/12/2019,7.2,74.25,4.19630178,10,27.2,19.2,1612,21.11,21.11,22.78,22.78,23.89,23.89,1.9,Spring
83936,17/12/2019,0,62.75,10.25816825,4.33333,28.8,17.2,1712,18.89,20.0,23.89,25.0,26.11,27.22,2.3,Spring
83936,18/12/2019,0,55,13.1772189,0,29,16,1812,20.0,22.22,23.89,26.11,27.22,27.78,2.9,Spring
83936,19/12/2019,0,61.5,11.83385651,2.66667,32.6,18,1912,20.0,23.89,26.11,27.78,30.0,31.11,2.4,Spring
83936,20/12/2019,0,63.75,9.27541555,6,36.6,21.8,2012,27.22,30.0,31.11,33.89,32.78,35.0,3.233333,Spring
83936,21/12/2019,53.8,75.75,3.33448048,9.33333,29.8,20.8,2112,22.22,23.89,25.0,23.89,22.78,23.89,2.3,Spring
83936,22/12/2019,0,78.25,7.83630956,3.66667,25,15.4,2212,18.89,20.0,21.11,22.22,22.78,23.89,2.5,Summer
83936,23/12/2019,0,69.25,10.95109423,1.33333,29,12.6,2312,20.0,22.22,22.78,23.89,25.0,26.11,0.8,Summer
83936,24/12/2019,0,59,14.48181084,0,32,12.4,2412,18.89,22.78,25.0,28.89,31.11,31.11,1.533333,Summer
83936,25/12/2019,0,59.5,13.72071322,1.33333,36.2,16.4,2512,23.89,27.78,30.0,32.22,33.89,35.0,0.933333,Summer
83936,26/12/2019,0,65.5,9.53702921,6.66667,35.4,19.2,2612,26.11,27.78,30.0,32.22,33.89,35.0,1.633333,Summer
83936,27/12/2019,0,66,10.82818773,4.66667,37.4,22.4,2712,27.22,30.0,32.22,35.0,37.22,37.78,2.433333,Summer
83936,28/12/2019,0,62,12.88583086,2.33333,37.6,23,2812,27.22,28.89,32.22,35.0,36.11,37.22,1.333333,Summer
83936,29/12/2019,0,60.75,10.592858,6.33333,38.2,22.4,2912,25.0,27.78,30.0,32.22,35.0,36.11,2.133333,Summer
83936,30/12/2019,4.5,60.5,9.76766203,7,36.4,23,3012,27.22,28.89,31.11,33.89,35.0,36.11,2.533333,Summer
83936,31/12/2019,0,70,7.93329256,5.66667,35,23.6,3112,27.22,28.89,32.22,32.22,36.11,27.78,1.633333,Summer
